ubigeo,departamento,provincia,distrito,ACCION POPULAR,ALIANZA PARA EL PROGRESO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,DEMOCRACIA DIRECTA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",FUERZA POPULAR,JUNTOS POR EL PERU,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO MORADO,PARTIDO NACIONALISTA PERUANO,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POPULAR CRISTIANO - PPC,PERU PATRIA SEGURA,PODEMOS PERU,RENACIMIENTO UNIDO NACIONAL,RENOVACION POPULAR,UNION POR EL PERU,VICTORIA NACIONAL
942401,EUROPA,POLONIA,VARSOVIA,3,0,5,0,0,2,8,0,3,0,2,3,0,1,1,7,0,0
942502,EUROPA,PORTUGAL,LISBOA,7,2,28,0,0,3,10,1,4,0,1,1,0,2,0,16,0,4
942601,EUROPA,RUMANIA,BUCAREST,1,0,3,0,0,3,3,0,2,1,0,1,1,0,0,2,0,1
942604,EUROPA,RUMANIA,TIMISOARA,3,0,1,0,0,0,3,0,0,0,0,3,0,0,0,4,0,1
942701,EUROPA,SUECIA,ESTOCOLMO,29,2,73,2,3,28,232,8,33,6,28,15,2,11,1,131,2,28
942703,EUROPA,SUECIA,MALMO,9,0,23,0,2,6,32,1,8,0,2,3,3,0,0,19,0,2
942802,EUROPA,SUIZA,BERNA,19,2,83,2,1,14,109,2,30,0,8,10,0,3,2,81,1,25
942803,EUROPA,SUIZA,GINEBRA,45,7,161,2,6,90,259,23,55,5,30,22,3,17,2,277,4,53
942809,EUROPA,SUIZA,ZURICH,30,5,163,4,3,23,121,10,38,4,5,23,0,6,5,149,3,33
942901,EUROPA,RUSIA,MOSCU,9,0,13,1,0,8,30,1,3,6,3,2,3,3,2,25,1,5
942910,EUROPA,RUSIA,SAN PETERSBURGO,1,0,3,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0
943108,EUROPA,CROACIA,ZAGREB,1,0,5,0,0,0,1,0,0,0,0,1,0,1,0,3,0,0
943403,EUROPA,UCRANIA,KIEV,4,1,3,0,0,4,2,0,0,0,4,1,0,1,0,10,0,1
943404,EUROPA,UCRANIA,KHARKOV,2,0,2,0,0,6,1,0,0,0,0,0,0,0,0,7,0,0
943601,EUROPA,BIELORRUSIA,MINSK,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,9,0,1
943701,EUROPA,MACEDONIA DEL NORTE,SKOPJE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944202,EUROPA,PRINCIPADO DE ANDORRA,ANDORRA LA VELLA,0,3,10,0,0,6,10,1,0,0,0,1,0,4,0,8,1,3
950102,OCEANIA,AUSTRALIA,BRISBANE,13,3,69,0,0,8,31,3,13,1,1,8,1,1,0,58,0,5
950103,OCEANIA,AUSTRALIA,CAMBERRA,6,1,12,0,1,4,7,0,4,0,0,1,0,0,0,8,0,0
950104,OCEANIA,AUSTRALIA,MELBOURNE,12,1,58,0,0,16,45,2,23,1,5,12,3,3,1,52,0,16
950105,OCEANIA,AUSTRALIA,SIDNEY,57,5,152,1,3,46,137,12,80,4,25,29,5,14,2,284,8,32
950106,OCEANIA,AUSTRALIA,PERTH,14,0,41,0,0,5,22,0,15,0,0,12,0,1,0,45,0,8
950201,OCEANIA,NUEVA ZELANDA,AUCKLAND,6,1,26,0,1,7,30,3,17,0,1,2,0,4,0,40,0,5
950202,OCEANIA,NUEVA ZELANDA,WELLINGTON,0,0,9,0,0,1,9,0,3,0,1,0,0,0,0,5,0,6
